0,White or of European descent
1,White or of European descent
2,White or of European descent
3,White or of European descent
4,
5,White or of European descent
6,White or of European descent
7,White or of European descent
8,Hispanic or Latino/Latina
9,White or of European descent
10,White or of European descent
11,
12,White or of European descent
13,Hispanic or Latino/Latina
14,White or of European descent
15,White or of European descent
16,White or of European descent
17,"Native American, Pacific Islander, or Indigenous Australian"
18,
19,I prefer not to say
20,
21,White or of European descent
22,White or of European descent
23,White or of European descent
24,
25,White or of European descent
26,
27,
28,White or of European descent
29,
30,
31,
32,White or of European descent
33,White or of European descent
34,White or of European descent
35,White or of European descent
36,Hispanic or Latino/Latina
37,White or of European descent
38,White or of European descent
39,
40,White or of European descent
41,
42,White or of European descent
43,
44,White or of European descent
45,White or of European descent
46,
47,South Asian
48,Middle Eastern
49,South Asian
50,White or of European descent
51,White or of European descent
52,Hispanic or Latino/Latina
53,White or of European descent
54,Hispanic or Latino/Latina
55,White or of European descent
56,White or of European descent
57,White or of European descent
58,I don’t know
59,
60,White or of European descent
61,South Asian
62,White or of European descent
63,
64,White or of European descent
65,Middle Eastern
66,South Asian
67,White or of European descent
68,White or of European descent
69,
70,White or of European descent
71,White or of European descent
72,White or of European descent
73,White or of European descent
74,
75,White or of European descent
76,White or of European descent
77,
78,
79,
80,
81,White or of European descent
82,White or of European descent
83,White or of European descent
84,Other
85,
86,
87,
88,Hispanic or Latino/Latina
89,Hispanic or Latino/Latina
90,White or of European descent
91,White or of European descent
92,
93,White or of European descent
94,I don’t know
95,White or of European descent
96,White or of European descent
97,White or of European descent
98,
99,White or of European descent
100,I prefer not to say
101,
102,White or of European descent
103,White or of European descent
104,White or of European descent
105,White or of European descent
106,White or of European descent
107,South Asian
108,White or of European descent
109,White or of European descent
110,White or of European descent
111,White or of European descent
112,South Asian
113,White or of European descent
114,Middle Eastern
115,White or of European descent
116,White or of European descent
117,White or of European descent
118,White or of European descent
119,
120,
121,White or of European descent
122,White or of European descent
123,White or of European descent
124,White or of European descent
125,I don’t know
126,White or of European descent
127,
128,
129,
130,
131,White or of European descent
132,White or of European descent
133,South Asian
134,White or of European descent
135,White or of European descent
136,White or of European descent
137,
138,
139,
140,
141,
142,
143,White or of European descent
144,
145,
146,White or of European descent
147,
148,White or of European descent
149,White or of European descent
150,
151,
152,
153,
154,White or of European descent
155,White or of European descent
