Male,United Kingdom,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,Colombia,Hispanic or Latino/Latina,Satisfied
Male,France,White or of European descent,Satisfied
Female,United States,White or of European descent,Satisfied
Female,Germany,Hispanic or Latino/Latina,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,Native American, Pacific Islander, or Indigenous Australian; White or of European descent,Satisfied
Male,Greece,I prefer not to say,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,Israel,White or of European descent,Satisfied
Male,Italy,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Israel,White or of European descent,Satisfied
Male,Brazil,White or of European descent,Unsatisfied
Male,Croatia,White or of European descent,Satisfied
Male,Italy,White or of European descent,Unsatisfied
Male,Argentina,Hispanic or Latino/Latina,Satisfied
Male,Netherlands,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Ukraine,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Sri Lanka,South Asian,Satisfied
Male,Malaysia,Middle Eastern,Satisfied
Male,United States,South Asian,Unsatisfied
Male,Israel,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Brazil,Hispanic or Latino/Latina; White or of European descent,Unsatisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,Germany,Hispanic or Latino/Latina; White or of European descent,Satisfied
Male,Finland,White or of European descent,Unsatisfied
Male,Italy,White or of European descent,Satisfied
Male,Turkey,I don’t know,Unsatisfied
Male,Canada,White or of European descent,Satisfied
Male,India,South Asian,Unsatisfied
Male,Ukraine,White or of European descent,Unsatisfied
Male,Netherlands,White or of European descent,Unsatisfied
Male,Poland,Middle Eastern,Satisfied
Male,India,South Asian,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Italy,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Finland,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Austria,White or of European descent,Satisfied
Male,France,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Mexico,Hispanic or Latino/Latina; Native American, Pacific Islander, or Indigenous Australian,Satisfied
Male,Brazil,Hispanic or Latino/Latina,Satisfied
Male,Brazil,Hispanic or Latino/Latina,Satisfied
Male,Croatia,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Turkey,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Female,United States,White or of European descent,Satisfied
Male,Brazil,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Unsatisfied
Male,India,South Asian,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,Mexico,White or of European descent,Satisfied
Male,India,South Asian,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Spain,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Unsatisfied
Male,Uruguay,White or of European descent,Satisfied
Male,Italy,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,I don’t know,Unsatisfied
Male,Estonia,White or of European descent,Unsatisfied
Gender non-conforming,United States,White or of European descent,Satisfied
Male,Finland,White or of European descent,Satisfied
Male,India,South Asian,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Unsatisfied
Male,Denmark,White or of European descent,Satisfied
Male,Lithuania,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,France,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Israel,Middle Eastern,Satisfied
Female,Germany,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Ukraine,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,Israel,White or of European descent,Satisfied
Male,Russian Federation,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,India,I prefer not to say,Satisfied
Male,Sweden,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Finland,White or of European descent,Unsatisfied
Male,Germany,White or of European descent,Satisfied
Male,Canada,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Canada,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Unsatisfied
Male,Canada,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,Netherlands,White or of European descent,Satisfied
Female,Germany,White or of European descent,Unsatisfied
Male,India,South Asian,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Serbia,White or of European descent,Satisfied
Male,Slovenia,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Uruguay,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Netherlands,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Other,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Argentina,Hispanic or Latino/Latina,Satisfied
Male,Greece,White or of European descent,Satisfied
Male,United States,South Asian,Satisfied
Male,Brazil,Hispanic or Latino/Latina,Unsatisfied
Male,Canada,White or of European descent,Satisfied
Male,Serbia,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Female,Canada,White or of European descent,Satisfied
Male,Netherlands,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United Kingdom,White or of European descent,Unsatisfied
Male,Costa Rica,Hispanic or Latino/Latina,Unsatisfied
Male,United Kingdom,White or of European descent,Satisfied
Other,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Italy,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Canada,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,Iran,Middle Eastern,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United Kingdom,Black or of African descent; White or of European descent,Satisfied
Male,Israel,Middle Eastern; White or of European descent,Unsatisfied
Male,India,South Asian,Satisfied
Male,India,South Asian,Satisfied
Female,India,South Asian,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Israel,White or of European descent,Satisfied
Male,Argentina,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Ukraine,White or of European descent,Satisfied
Male,Israel,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male; Gender non-conforming,United Kingdom,White or of European descent,Satisfied
Male,Netherlands,White or of European descent,Satisfied
Male,United States,I prefer not to say,Unsatisfied
Male,Argentina,Hispanic or Latino/Latina; White or of European descent,Satisfied
Male,Poland,White or of European descent,Satisfied
Male,Canada,White or of European descent,Satisfied
Male,Iran,Middle Eastern,Unsatisfied
Male,Slovenia,White or of European descent,Unsatisfied
Male,Russian Federation,East Asian,Satisfied
Male,Chile,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,El Salvador,Hispanic or Latino/Latina,Satisfied
Male,Belarus,White or of European descent,Satisfied
Female,Spain,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Female,India,I don’t know,Unsatisfied
Male,Denmark,Middle Eastern,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,Argentina,Hispanic or Latino/Latina,Satisfied
Male,Finland,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,Israel,I don’t know,Satisfied
Male,Sweden,White or of European descent,Satisfied
Male,United Kingdom,White or of European descent,Satisfied
Male,United States,Black or of African descent; East Asian; White or of European descent,Unsatisfied
Male,Canada,White or of European descent,Unsatisfied
Male,Netherlands,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,United States,I prefer not to say,Unsatisfied
Male,Mexico,Hispanic or Latino/Latina,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Female; Transgender,United States,White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Germany,White or of European descent,Satisfied
Male,United States,White or of European descent,Satisfied
Male,Israel,Middle Eastern; I don’t know,Unsatisfied
Male,Albania,White or of European descent,Satisfied
Male,United States,South Asian,Satisfied
Male,United States,White or of European descent,Satisfied
Male,South Africa,White or of European descent,Satisfied
Male,Canada,White or of European descent,Satisfied
Male,Switzerland,White or of European descent,Satisfied
Male,Sweden,White or of European descent,Satisfied
Male,Brazil,White or of European descent,Satisfied
Male,United States,Middle Eastern,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,Netherlands,White or of European descent,Unsatisfied
Male,United States,East Asian; White or of European descent,Unsatisfied
Male,United States,White or of European descent,Satisfied
Male,New Zealand,White or of European descent,Satisfied
Male,Russian Federation,White or of European descent,Satisfied
Male,Brazil,Hispanic or Latino/Latina; White or of European descent,Unsatisfied
Male,Germany,White or of European descent,Satisfied
